team_key,team_name,date,league_fee,reg_adds,po_adds,il_days,reg_add_fee,po_add_fee,il_fee,fees_accrued
364.l.8091.t.1,Adam Silver,2017-02-08,150,13,0,47,65,0,21.0,236.0
364.l.8091.t.2,#Hwaiting,2017-02-08,150,12,0,106,60,0,48.0,258.0
364.l.8091.t.3,Forgot About Dray,2017-02-08,150,4,0,71,20,0,33.0,203.0
364.l.8091.t.4,Cool Cats,2017-02-08,150,11,0,77,55,0,33.0,238.0
364.l.8091.t.5,D-League All-Stars,2017-02-08,150,38,0,55,190,0,24.0,364.0
364.l.8091.t.6,Jimmy & Jimmy Co.,2017-02-08,150,27,0,40,135,0,18.0,303.0
364.l.8091.t.7,One for the Mainland,2017-02-08,150,13,0,41,65,0,18.0,233.0
364.l.8091.t.8,So Kawhi 。◕ ‿ ◕。,2017-02-08,150,2,0,20,10,0,9.0,169.0
364.l.8091.t.9,Stream Team,2017-02-08,150,71,0,39,355,0,18.0,523.0
364.l.8091.t.10,Trinh,2017-02-08,150,7,0,74,35,0,33.0,218.0
364.l.8091.t.11,Icin On The Beefcake,2017-02-08,150,17,0,0,85,0,0.0,235.0
364.l.8091.t.12,Valar Moredunkis,2017-02-08,150,17,0,83,85,0,36.0,271.0
364.l.8091.t.13,Harry B's Hairy Bees,2017-02-08,150,12,0,23,60,0,12.0,222.0
364.l.8091.t.14,Browshakalaka,2017-02-08,150,8,0,106,40,0,48.0,238.0
